,jobtitle,jobdescription,experience
10,Industrial Engineer,"Industrial Engineer 
(Mishawaka, IN) Engage in modeling process flow using industrial engineering software to recommend the most efficient assembly process. Test products & prep design layouts by manual means or through computer graphics systems. Make production design calculations & conduct analyses & computer simulations for production processes. Work with customers & correspond with vendors & suppliers. MA in Engineering required. 9AM - 5PM, Mon.-Fri., 35 hrs/wk. Mail resume to: 
Dr. Peter Bauer
Chief Technology Officer, 
Slipstream Projects LLC,
1810 Clover Rd, 
Mishawaka, IN, 46545.",No experience
11,senior industrial engineer,"ENGINEERING: 
	Senior Industrial Engineer. Zollner Electronics has a position avail for Senior Industrial Engineer in Milpitas, CA. Requires: MS in Industrial Engineering; 4yrs experience in relevant job as engineering professional, Six Sigma Black Belt Cert, and experience in Soldering Process, and Value Stream Mapping. Send rsum to: Nessa Hunt, HR, Zollner Electronics, 575 Cottonwood Drive, Milpitas, CA 95035. EOE",No experience
12,industrial engineer,"TELESCOPE CASUAL  FURNITURE, INC., is now  hiring an INDUSTRIAL  ENGINEER. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience  in the field of industrial engineering is preferred. Salary based on experience.   Email resume and salary requirements to  hr@telescopecasual.com",No experience
13,industrial engineer,"ENGINEERING: 
	Industrial Engineer. Plan & implement QC to max reliability. Improve sequence of ops solder paste stencils. Organize process for gerber data editing service. Review engineering specs for wave solder & SMT fixtures. BS in Industrial Engineering. Send Resume to Stencil Masters, Inc. 780 Charcot Avenue, San Jose, CA 95131",No experience
14,Industrial Engineer,"TI Group Automotive Systems, LLC seeks an Industrial Engineer for a position in Lavonia, GA. Successful candidates must have an MS & exp. Qualified applicants can email or send resumes to Attn: HR at lkipila1@gmail.com or TI Group Automotive Systems, LLC, 2020 Taylor Rd, Auburn Hills, MI 48326. No phone calls please.",No experience
15,Industrial Engineer,"<font face=""Univers 57 Condensed"" size=""2"" color=""#000000"">Anlyze &amp; eval indstrl prodctvty &amp; standrd covrge of the prdctn plant. Req BS in Indstrl Engg or Mech Engg + skills &amp; knwldg of CAD, MRP, Aggregate Planning, Time-and-motion studies, Analysis of variance (ANOVA), Process Capability. Send r&eacute;s w/code JOI001 to HR, S.S. White Technologies, 151 Old New Brunswick Rd, Piscataway, NJ 08854.</font>     Web Id: 99488",No experience
16,Industrial Engineer,"<p>Boise Cascade is one of the largest building materials distributors and is North America's #2 manufacturer of laminated wood, I-joists, and plywood. We are seeking to fill positions in our Chester, SC location</p>
<p><strong> Industrial Engineer</strong> - Responsible for evaluating and improving plant performance in the areas of safety, quality, production output and operating cost. Prefer degree in Business, Engineering, or Wood Products (Natural Resources) and between 0-4 years of experience in related job function. Excellent communication skills required.</p>
<p><strong> Mobile Mechanic</strong> - Successful candidate will be proficient in mechanical, hydraulic pneumatic knowledge and troubleshooting skills as it pertains to forklifts and heavy equipment. Qualifications include a minimum of 5 years forklift and heavy equipment repair experience; basic computer knowledge of Word and Excel are also required.</p>
<p><strong>Electronic Specialis</strong>t - This position is responsible for improving the design, installation, maintenance and operation of all types of control devices and electronic accessories, working with production, administrative personnel, and vendors. Prefer degree or must have at least two years of industrial experience with electronics, computers, and control systems, or have equivalent technical education. Must have a solid understanding/ability to troubleshoot electronic components and control systems, ability to write PLC programs and working knowledge of PC programs.</p>
<p><strong> Production Line Workers</strong> - Qualified candidates for entry level laborer positions.. Responsible for upkeep and cleaning of general assigned area, providing breaks (break-out) of other employees, moving heavy objects, cleaning equipment and/or machinery, and loading or unloading of material. The facility operates in a ""shift work"" environment that emphasizes safety, team building, total quality, and continuous process improvement. Must be able to work any shift including weekends, holidays and mandatory overtime with little advance notification.</p>
<p>Great benefits, retirement plan, health, dental, vision and life insurance.</p>
<p>Boise Cascade is proud to be an Equal Opportunity Employer</p>
<p>Visit our website for complete job descriptions and to apply www.bc.com/careers</p>
<p>1445 Lancaster Highway, Chester, SC 29706&nbsp;</p>",No experience
17,Industrial Engineer,"Industrial Engineer sought by zulily, LLC in Seattle, WA to enhance & expand fulfilment operations. Apply @ www.jobposting
today.com ref # 68456.",No experience
18,Lean Industrial Engineer,"Whirlpool Corporation seeks. 
	Lean Industrial Engineer in Marion, OH. Dvlp future state vision & roadmap, provide direction for Whirlpool Production System. Req: Master + 1; or Bachelor + 7. Apply by mail to: Whirlpool Attn: Global Mobility, 2000 North M-63, MD 2000, Benton Harbor, MI 49022 (Must ref. Job Code: CW-AP03YA)",No experience
19,Entry Level Industrial Engineer,"Engineer
<br/>ENTRY LEVEL INDUSTRIAL ENGINEER
<br/>Confidential company located in Spartanburg, SC is seeking qualified candidates to fill an Entry Level Industrial Engineer opportunity. 
<br/>
<br/>This position will be responsible for analyzing and researching system functionality and configuration within the distribution center to ensure optimal performance is met. This position may also perform technical studies, research special projects, and/ or conduct other tasks/duties as assigned, to determine key metrics and provide recommendations for process, system, and/ or technological improvements and/or changes.
<br/>
<br/>This position reports to the Operations Director. Shift is Monday - Friday, hours may vary based on business needs. HOWEVER, business needs may dictate arriving earlier, staying later, working on weekends/ holidays, and off shift if necessary. 
<br/>
<br/>Qualified candidates for this Entry Level position should possess 
<br/>
<br/> College degree, preferably in Industrial Engineering
<br/> Prior experience, OR an equivalent combination of education and experience
<br/> Proficiency in MS Office as well as warehouse and labor systems
<br/> Ability to read, analyze and interpret technical procedures, SOPs, reports, manuals
<br/> Absolutely must possess excellent written, verbal and non-verbal communication skills, ability to work in a team environment, and maintain professionalism and confidentiality at all times in a production environment
<br/>
<br/>In addition, candidates being considered for this role must be able to 
<br/> Provide proof education and/or DD214 if applicable for military
<br/> Complete a national background screening
<br/> Complete a pre-employment drug screening
<br/>
<br/>This is a full-time exempt salaried position with the option to participate in a health benefits package. Qualified candidates must email resume to janicek@imsco.com. Local candidates only, no relocation provided. EOE",No experience
20,industrial engineers,"INDUSTRIAL 
	ENGINEERS 
	Western Digital Technologies, Inc. has opptys in Milpitas, CA for Ind & Ops Engrs. Mail resume to Attn: HR, 951 SanDisk Dr, MS:HRGM, Milpitas, CA 95035, Ref #MILASU. Must be legally auth to work in the U.S. w/o spnsrshp. EOE",No experience
21,Industrial Engineer,"<p><strong>TELESCOPE CASUAL FURNITURE, INC.,</strong> is now hiring an <strong>INDUSTRIAL ENGINEER</strong>. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.</p>",No experience
22,Industrial Engineering Technology Faculty Member,"<p>Career Opportunities Sinclair Community College is currently seeking talented qualified candidates for the following career opportunity:&nbsp;</p>
<p>Job Title: Industrial Engineering Technology Annually Contracted Position</p>
<p><strong>Job Number:</strong> 03262</p>
<p><strong>Department:</strong> Operations Technology</p>
<p><strong>Job Category:</strong> Faculty</p>
<p><strong>Job Type:</strong> ACF</p>
<p><strong>Status:</strong> Regular</p>
<p><strong>Job Open Date:</strong> 05/19/2017</p>
<p><strong>Resume Review Date:</strong> 06/05/2017</p>
<p><strong>Closing Date</strong></p>
<p><strong>Open Until Filled:</strong> Yes</p>
<p><strong>Position Summary:&nbsp;</strong>Sinclair Community College is a comprehensive community college with an enrollment of over 23,000 students that offers career and transfer programs leading to an associate degree, certificate programs, and continuing education opportunities. The Science, Mathematics and Engineering Division at Sinclair is currently seeking candidates for an Annually Contracted Faculty opening in the Industrial Engineering Technology Department effective , August 16, 2017.</p>
<p>All positions are pending final budget approval for the 2017-2018 academic year.</p>
<p>Resume review will begin on: June 5, 2017.</p>
<p><strong>Principal Accountabilities:</strong></p>
<p>*Teach at least 30 credit hours per academic year</p>
<p>*Cooperate with full-time faculty, the department chairperson, and the division dean in implementing the instructional program</p>
<p><strong>Requirements:</strong></p>
<p>*Bachelor&rsquo;s Degree in a field related to Industrial Engineering, Manufacturing, or Quality required</p>
<p>*Master&rsquo;s preferred</p>
<p>*Expertise in Quality Engineering topics such as Metrology, Advanced Metrology (Coordinate Measuring Machines), Statistical Process Control, Calibration and American Society for Quality Certifications preferred</p>
<p>*Knowledge of Industrial Engineering topics such as Lean, Six-Sigma, Motion and Time Study and Engineering essential</p>
<p>*Teaching experience in IET or Quality classes is highly desirable</p>
<p>*ASQ certifications preferred</p>
<p>*Five years minimum industrial experience in IET or Quality environment essential</p>
<p>*Availability to teach on Dayton campus as well as off campus sites required</p>
<p>*A demonstrated commitment to improving student learning through innovative strategies shown to help students succeed at the course and program level, including ability to teach in a student-centered active learning model required</p>
<p>*Effective communication and interpersonal skills, and the capacity to work successfully in a culturally diverse college community required</p>",No experience
23,Industrial Engineer,"<p><strong>INDUSTRIAL ENGINEER</strong>. Telescope Casual Furniture Inc is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",No experience
24,Industrial Engineer,"<p>·         Review production schedules, engineering specifications, process flows and other information to understand methods and activities in manufacturing.</p>

<p>·         Figure out how to manufacture parts/products with maximum efficiency.</p>

<p>·         Develop management control systems to make financial planning and cost analysis more efficient.</p>

<p>·         Enact quality control procedures to resolve production problems and minimize cost.</p>

<p>·         Work with customers and management to develop standards for design and production.</p>

<p>·         Design control systems to coordinate activities and production planning to ensure that products meet quality standards.</p>

<p>·         Confer with Clients about product specifications, vendors about purchases, management personnel about manufacturing capabilities, and staff about the status of projects.</p>

<p>·         Some travel to observe processes and make assessments in various work settings.</p>

<p>·         Bridge between the technical and business side of the organization.</p>

<p>·         Supply chain management.</p>

<p>·         Assist with quoting.</p>

<p>·         Implement a LEAN Manufacturing program and audit/evaluate effectiveness.</p>

<p>·         Prove-Out system</p>

<p>·         Study product requirement s and design manufacturing and information systems to meet requirements.</p>

<p>·         Improve ways to distribute goods and services.</p>

<p>·         Determine most viable locations for equipment and processes for all locations, best layout of equipment and workspace to increase efficiencies/productivity.</p>

<p>·         Create sampling procedures and designs.</p>

<p>·         Evaluate accuracy of production and testing equipment.</p>

<p>·         Study and improve material flow and operational sequence.</p>

<p>·         Evaluate effects of product design changes.</p>

<p>·         Evaluates manufacturing processes by designing and conducting research programs; applying knowledge of product design, fabrication, assembly, tooling, and materials; conferring with equipment vendors; soliciting observations from operators.</p>

<p>·         Prepare product and process reports by collecting, analyzing, and summarizing information and trends.</p>

<p>·         Completes design and development projects by training and guiding technicians.</p>

<p>·         Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.</p>

<p>·         Maintains product and company reputation by complying with government regulations.</p>

<p> </p>",No experience
25,Industrial Engineer,"<p>Telescope Casual Furniture, Incorporated, is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.</p>",No experience
26,Industrial Engineer,"<p>Telescope Casual Furniture, Inc., is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics.</p>
<p>Experience in the field of industrial engineering is preferred.</p>
<p>Salary based on experience.</p>",No experience
27,Industrial Engineer,"<p>Telescope Casual Furniture, Inc., is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.&nbsp;</p>",No experience
28,Industrial Engineer,"<p><span style=""font-family: Verdana, sans-serif;"">Telescope Casual Furniture</span>, Inc., is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.&nbsp;</p>",No experience
29,Industrial Engineer,"<p>&nbsp;Telescope Casual Furniture, Inc., is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.</p>",No experience
30,Industrial Engineer,"<p><span style=""font-family: Verdana, sans-serif; font-size: 10.5pt;"">Telescope Casual Furniture, Inc</span>., is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.&nbsp;</p>",No experience
31,Industrial Engineer,"<p>Telescope Casual Furniture Inc., is now hiring an Industrial Engineer The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.</p>",No experience
32,Industrial Engineer,"<p>Telescope Casual Furniture, Inc. is now hiring an Industrial Engineer. The ideal candidate would have familiarity with time studies, costing and excel in mathematics. Experience in the field of industrial engineering is preferred. Salary based on experience.&nbsp;</p>",No experience
33,Industrial Engineer #Lam343-IE-CA,"<p>Industrial Engineer in Fremont, CA (Lam343-IE-CA) - Drive improvement towards operational excellence by leveraging Quality Engineering and Lean Six Sigma principles. Require 25% US and International travel. Requirements, Master of Science plus three (3) years of experience or Bachelor of Science plus five (5) years of experience.&nbsp;</p>",No experience
34,Industrial Engineer #JOI002,"<p><strong>Industrial Engineer</strong> (St Petersburg, FL)</p>
<p>Analyze and evaluate Industrial productivity and standard coverage of the production plant.</p>
<p><strong>Requirements:</strong></p>
<p>Bachelor of Science in Industrial Engineering or Mechanical Engineering plus skills and knowledge of CAD, MRP, Aggregate Planning, Time-and-motion studies, Analysis of variance (ANOVA), Process Capability.</p>",No experience
35,Industrial Engineer #SID002,"<p class=""MsoNormal""><span style=""font-size: 10.5pt; line-height: 115%; font-family: Verdana, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Industrial Engineer (Petersburg, FL) - Design and implement projects for increased efficiency and productivity of supply chain processes &amp; systems. Requires MS in Industrial Engineering or Mechanical Engineering plus skills and knowledge of ERP system, Replacement Analysis, Data modeling (IDEF1/IDEF3), ANOVA, Material Management, Mathematical Optimization (Linear &amp; Integer Programming), Six Sigma and Lean Manufacturing. </span></p>
<p>&nbsp;</p>
<p class=""MsoNormal""><span style=""font-size: 10.5pt; line-height: 115%; font-family: Verdana, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Job Code: SID002</span></p>",No experience
36,Industrial Engineer #IE17,"<p>SB Industry Inc. Forth Worth, TX seeks Industrial Engineer. Requires Bachelor's degree + 6 months experience.&nbsp;</p>",No experience
37,Industrial Engineer,"<p>ME Elecmetal, a global supplier of castings for the mining industry, is recruiting in its Duluth, MN foundry.&nbsp; Candidates must possess accredited Engineering degrees concentrated in Industrial, Mechanical, Chemical, or Material Science/Metallurgy.</p>
<p>These positions are salaried and ME Elecmetal offers competitive benefit packages, which include medical &amp; dental insurance, life insurance, 401k, and tuition reimbursement.</p>
<p>All qualified candidates must be:</p>
<ul>
<li>committed to creating a safe work environment</li>
<li>committed to high performance standards</li>
<li>committed to producing high quality products</li>
<li>willing to work in an environment that expects excellence</li>
</ul>
<p>Core Values: ME Elecmetal is an Equal Opportunity Employer and Drug Free Workplace. We are looking for Engineers who share our passion for craftsmanship and operational excellence.</p>",No experience
38,Industrial Engineer--Energy,"<p><strong>Industrial Engineer--Energy</strong></p>
<p>Creative Thermal Solutions seeks an Industrial Engineer--Energy.</p>
<p><strong>Duties:</strong></p>
<p>Conduct independent research in the fields of thermodynamics, heat transfer, refrigeration, and air-conditioning systems. Estimate production costs, cost saving methods, and the effects of product design changes on expenditures for management review, action, and control. Use drafting tools and computers (CAD, MATLAB, and LABVIEW) to draft and design layout to illustrate maximum efficiency of energy equipment, materials and workspace. Perform other duties as required.</p>
<p><strong>Requirements:</strong> Bachelor's degree in Mechanical Engineering, Industrial Engineering, Environmental Engineering, or closely related. Advanced coursework in thermal sciences and energy conservation systems. Acquired skills include energy auditing, waste heat recovery analysis, numerical analysis, experience designing and conducting research testing, research report writing, and classroom instruction. Proficient in thermodynamics, fluid mechanics, multiple CAD software programs, Matlab, and Labview. Full-time</p>
<p><em>Creative Thermal Solutions is an affirmative action/equal </em> <em>opportunity employ</em>er.</p>",No experience
39,Distribution Center Industrial Engineers,"<p><strong>Distribution Center Industrial Engineers </strong></p>
<p>Home Depot U.S.A., Inc. has multiple openings for Distribution Center Industrial Engineers to support process improvements for facilitates in our Regional Distribution Center Supply Chain Network.</p>
<p><strong>Work Location: </strong></p>
<p>Van Buren, OH. Up to 20% travel required. All positions require related degree and/or experience and/or skills. Multiple openings.</p>",No experience
