,jobtitle,jobdescription,experience
10,"Data Engineer, Senior","<p><strong>We are using data and analytics to transform care and cures for kids!<br></strong><br>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.<br><br>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come.<br></p>",No experience
11,Data Engineer Lead,"<font size=""2""><font face=""arial,helvetica,sans-serif""><strong>We are using data and analytics to transform care and cures for kids!<br></strong><br>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.<br><br>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come. <br><br></font></font><font face=""arial,helvetica,sans-serif"" size=""2""><br><br><br></font>",No experience
12,data engineer,"ENGINEERING 
	Data Engineer in Sunnyvale, California (DE-CA)  Resp for data archit., dsgn, data warehousing & quality ctrl. Enhance scalability, prfrmnce & stability of co.'s existing infrastructure. Req. BS+6. Send resume: Financial Engines, 4742 N. 24th St., Ste 270, Phoenix, AZ 85016 Attn: HSandoval/DE-CA.",No experience
13,"Data Engineer, Senior / Lead","<P><STRONG>We are using data and analytics to transform care and cures for kids!</STRONG></P><P>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.</P><P>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come.<BR></P><P> </P>",No experience
14,Sr Data Scientist,"<p><strong>At Extra Space Storage, if it matters to you, it matters to us!</strong><br /> It is a really exciting time to be at Extra Space Storage! Extra Space Storage started in 1977. Between now and then, we've come a long way. Today we are a New York Stock Exchange-traded company leading the self-storage industry in more ways than one. But in order to maintain this lead, we need exceptionally motivated, capable, and driven people like you. We offer a fast-paced collaborative environment where each of us directly contributes to the company's success. Come join our growing industry and find out why so many of our employees recommend us as great place to work.<br /> <br /> We're currently hiring for a <strong>Sr. Data Scientist</strong> to work at our corporate offices in Salt Lake City, UT.  This position is instrumental in designing, developing, and fielding advanced analytics solutions that have a direct and measurable impact on Extra Space <em>Marketing</em> effectiveness. The role requires a broad knowledge of predictive analytics, optimization techniques, and creativity to invent and customize when necessary. In this position, you will demonstrate familiarity with general database structures; primary research study process flow including design, data management, and analysis; and thrive in a fast paced, deadline driven environment.</p> <p><strong>Essential Duties and Responsibilities: </strong> </p> <ul> <li>Produce success stories out of large, complicated, messy data sets. Creates recommendation engines and decision support systems that generate value</li> <li>Identify data sets (external and internal), tools, and interfaces needed to solve problems. Develops key business relationships to solve problems</li> <li>Drive key analytics capability for new customer acquisition including pricing, paid marketing, search engine marketing, social, customer feedback and response</li> <li>Monitor data collection, data processing, analysis and reporting related to testing, attribution, marketing and customer satisfaction programs</li> <li>Provide data driven insights to increase revenues, reduce CPAs, increase conversions, and increase live time value</li> <li>Develops data driven segmentation models that predict customer life time value leading to acquiring highly valuable customers</li> <li>Lead and participate in cross-function teams to establish and ensure accurate analysis methodology and reporting</li> <li>Ability to work on and negotiate multiple projects simultaneously</li> <li>Interface with external program providers and clients including Google, Adobe, Facebook, Yahoo, various content aggregators, etc. to facilitate data flow quality and provide quality analysis</li> <li>Maintain accurate project records and files</li> <li>Effectively communicate and build relationships with key partners, as well as managing client expectations</li> <li>Exhibit a high level of detail orientation and accuracy</li> <li>Demonstrate strong interpersonal/communication skills and the ability to provide superior customer service</li> <li>Exhibits excellent organizational skills and ability to work under tight deadlines with multiple tasking</li> </ul>",No experience
15,Professor of Data Science (Assistant or Associate Rank),"<p>Under the direction of the Executive Director of the <a href=""slucor.slu.edu"" target=""_blank"">Saint Louis University Center for Outcomes Research</a> (SLUCOR), the faculty member provides significant expertise and experience in the field of Data Science. The position will be responsible for developing/teaching courses, leading research, mentoring students, participating in corporate consulting, and developing academic programs.</p>",No experience
16,"Director, Data Science","Director, Data Science Peopletomysite.com, LLC dba The Shipyard seeks a Director, Data Science (#0630511) (Multiple Openings) in Columbus, Ohio to provide complex data mining and advanced analytical skills experience to our already exceptional team of professionals in the financial services industry. This is a key role in the company that will help manage and analyze statistical data to provide expert advice that yields tangible results and provides business-boosting solutions for our clients. To apply email resume to careers@theshipyard.com w/job title & job# in subject line.",No experience
17,Data Science,"Data Science Model Development Tech Lead (Berkeley Heights, NJ): Design & implement automation processes for Data Science team using SAS Grid, Revolution R & Hadoop. Automate the entire software development lifecycle. Perform application design & development. Design model automation framework. Work with software development life cycle, Python & Service Oriented Architecture. Req's Master's degr + 2yrs exp. Mail resume to AIG Employee Services, Inc., Ref# MT-AIG-171, Attn: Lisa Goldner, HR Manager, 175 Water St., NY, NY 10038. No phone calls. Web Id: 83222",No experience
18,Senior Lecturer in Computational Science and Data Science,"<p>The Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) seeks outstanding applicants for the position of Senior Lecturer in Computational Science and Data Science in the Institute for Applied Computational Science (IACS), with an expected start date of January 1, 2017.  The position is for five years and is renewable contingent upon performance, enrollments, and curricular need.</p> <p>The Senior Lecturer will have teaching responsibility for three computational or data science courses per year.  In addition, the Senior Lecturer will assist in the development and implementation of the Institute's curricular vision through collaboration with faculty partners in Computer Science, Applied Mathematics and Statistics, as well as other areas and institutes across Harvard.  The Senior Lecturer will be a member of the IACS team and have an opportunity to shape Harvard University's vision for education and research in the strategically important areas of computational and data science.  Home to a master's program in computational science and engineering, IACS is a key member of the group leading the growth and development of computational science and data science education at Harvard University.</p> <p>Duties and Responsibilities:</p> <ul> <li><strong>Teaching: </strong>teach or co-teach three graduate-level courses per year with a focus on interdisciplinary collaboration that allows students to develop problem-solving skills in computational science and data science.</li> <li><strong>Curriculum development: </strong>assist the Institute for Applied Computational Science in the continuing assessment and improvement of the Institute's curriculum in order to stay abreast of the latest developments in computational science and engineering, in particular with respect to the emerging field of data science; assist in development of computational content for existing courses across SEAS, and develop new courses as needed with a focus on hands-on, project-based classes that allow students to work collaboratively.</li> <li><strong>Student advising: </strong>serve as an intellectual mentor and advisor to students; advise master's students in their development of independent study projects and theses, develop proposals for integrated graduate training and faculty activities that provide research experiences and thesis projects for students, serve on admissions committee for master's programs; review and approve student final exams and project presentations.</li> <li><strong>Programmatic</strong>: contribute to the Institute's extracurricular program of conferences, student competitions, open houses and workshops, advising sessions, special events, and co-curricular research and academic visits, with a goal of building community, skill and knowledge in computational and data science at Harvard.</li> <li><strong>Research:</strong> conduct independent and collaborative research. Participate in the scientific and research communities in your discipline.</li> </ul>",No experience
19,DATA SCIENTIST,"DATA SCIENTIST - Capital One Services, LLC in Richmond, VA; Mult pos avail: Apply & validate stat & other math methods to collect, organize, interpret, & summarize econ data to assist in decision- making & support the dvlpmt of bus strategy. Requires a Master's degree or foreign equiv in Stat/Math/ Econ/Fin/Engn/Sci/rel quant analyt field. Must pass company's assessment. To apply, visit www.capitalone.com/careers, then search keyword ""Data Scientist"" or requisition ID R5601.",No experience
20,Data Scientists,"Data Scientists sought by Dataline Inc., in Princeton, NJ, to build statistical predictive models to identify target customers for clients; perform data extraction, processing & mining on large dbases. Req. MS or higher deg in statistics, applied math, or rltd, or equiv, 6 mths exp, demonstrated knowl of mathematical & statistical modeling, data mining, big data, applied regression, machine learning, design & analysis of data structures & algorithms, prgmg (C, C++, SQL, Python), R, SPSS, Matlab. Send CV w/ cvr ltr to: Dataline Inc., 5 Vaughn Dr., Ste. 307, Princeton, NJ 08540. Web Id: 90200",No experience
21,Senior Lecturer in Computational Science and Data Science,"<p>The Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) seeks outstanding applicants for the position of Senior Lecturer in Computational Science and Data Science in the Institute for Applied Computational Science (IACS), with an expected start date of January 1, 2017.  The position is for five years and is renewable contingent upon performance, enrollments, and curricular need.<br /><br /></p> <p>The Senior Lecturer will have teaching responsibility for three computational or data science courses per year.  In addition, the Senior Lecturer will assist in the development and implementation of the Institute's curricular vision through collaboration with faculty partners in Computer Science, Applied Mathematics and Statistics, as well as other areas and institutes across Harvard.  The Senior Lecturer will be a member of the IACS team and have an opportunity to shape Harvard University's vision for education and research in the strategically important areas of computational and data science.  Home to a master's program in computational science and engineering, IACS is a key member of the group leading the growth and development of computational science and data science education at Harvard University.</p> <p><span style=""text-decoration: underline;""><br />Duties and Responsibilities:</span></p> <ul> <li><strong>Teaching: </strong>teach or co-teach three graduate-level courses per year with a focus on interdisciplinary collaboration that allows students to develop problem-solving skills in computational science and data science.</li> <li><strong>Curriculum development: </strong>assist the Institute for Applied Computational Science in the continuing assessment and improvement of the Institute's curriculum in order to stay abreast of the latest developments in computational science and engineering, in particular with respect to the emerging field of data science; assist in development of computational content for existing courses across SEAS, and develop new courses as needed with a focus on hands-on, project-based classes that allow students to work collaboratively.</li> <li><strong>Student advising: </strong>serve as an intellectual mentor and advisor to students; advise master's students in their development of independent study projects and theses, develop proposals for integrated graduate training and faculty activities that provide research experiences and thesis projects for students, serve on admissions committee for master's programs; review and approve student final exams and project presentations.</li> <li><strong>Programmatic</strong>: contribute to the Institute's extracurricular program of conferences, student competitions, open houses and workshops, advising sessions, special events, and co-curricular research and academic visits, with a goal of building community, skill and knowledge in computational and data science at Harvard.</li> <li><strong>Research:</strong> conduct independent and collaborative research. Participate in the scientific and research communities in your discipline.</li> </ul>",No experience
22,Senior Data Engineer,"Senior Data Engineer sought by Cardlytics, Inc. in Atlanta, GA. Req BS in CS or a rltd fld +5yrs in Data manipultn, data QA & montring. Req exp docmtng & undrstng data flws. Req exp w/ BI tols & in Data Warhosng. Req exp in MS SQL. Auth to wrk in US. Aply @  www.jobpostingtoday.com #73785",No experience
23,Senior Big Data Engineer,"QUAERO 3 LLC  Senior Big Data 

Engineer (Charlotte, NC) Reqs master's or frgn equiv deg in comp sci or rel field & 3 yrs exp in job offered or 3 yrs exp develop'g & troubleshoot'g tools, apps or systems on Linux & Windows platforms. In lieu of master's deg & 3 yrs exp, will accept bachelor's or frgn equiv deg in comp sci or rel field & 5 yrs exp as stated. Reqs 1 yr exp develop'g & troubleshoot'g each of the following: Perl or Python scripts; database solutions using Apache Hadoop Hive, Apache Hadoop Oozie, & Cloudera Hadoop Impala; SQL Server Transact SQL, user-defined functions & stored procedures & SQL Server Integration Services packages; & issues related to asynchronous data management processes which involve big data, complex business processes, algorithms, & data transformations across Hadoop, SQL Server, Linux & Windows by analyz'g logs, data, & logic & by inferring the source of issue. Also reqs 1 yr exp compos'g design documents, lead'g design review sessions & articulat'g design content to peers & senior architects for approval. Employee reports to headquarters in Charlotte, NC but may telecommute up to 2 wks of every mo from any location in U.S. Travel costs not reimbursable. Exp may be, but need not be acq'd concurrently. Apply w/ resume to: Quaero3 LLC, Attn: Human Resources, 1930 Camden Rd, Ste 200, Charlotte, NC 28203.",No experience
24,Data Scientist sought,"Data Scientist sought by Viant Technology in Irvine, CA. Req Associate's or foreign equiv degree in Liberal Arts, Comp Progr or rel field. And 1yr exp building scalable prod appl using obj-oriented progr &amp; data structures algorithms in Python; writing &amp; optimizing SQL queries for ETL processes; utilizing Google BigQuery, Python, &amp; R; designing &amp; building visualization tools &amp; reports using Tableau &amp; Plotly. Apply at http&#58;&#47;&#47;viantinc.com&#47;careers &amp; select Data Scientist",No experience
25,data scientists,"DATA SCIENTISTS   
	Run statistical analyses on lrg datasets & discover insights to drive product & business decisions. Mail #DS1 attn S. Do, Quora, Inc, 650 Castro St., Ste 450, Mountain View, CA 94041",No experience
26,"Data Engineer, Sr","<P><STRONG>We are using data and analytics to transform care and cures for kids!</STRONG><BR><BR>For more than 100 years, Seattle Children's has been leading the discovery of new cures and delivering the latest treatments available - all part of our mission to prevent, treat, and eliminate pediatric disease. We are now taking it to the next level and experiencing unprecedented growth in data and analytics across the enterprise. We're looking for talented data/analytic experts with a passion for helping kids and their families lead better, healthier lives.<BR><BR>Seattle Children's Enterprise Analytics (SCEA) is the analytic backbone supporting clinicians, research, and business operations. From the simplest data mart to real-time streaming for predictive analytics, we deliver data and analytics to our world-class researchers and clinicians that they need to make timely, data-driven decisions - decisions that will transform medical care and cures for kids worldwide for decades to come.<BR></P>",No experience
27,Professional - Data Scientist,"Professional-Data Scientist needed by AT&T Services, Inc. in Alpharetta, GA to design and implement processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes. Apply at http://att.jobs/, select JOB SEARCH AND APPLY and select Search by Requisition Number at the left bottom of the page and enter JOB NUMBER: 1659921.",No experience
28,"IT ANALYST, DATA ENGINEER","IT ANALYST, DATA ENGINEER (New Albany, OH): Resp. for engnr'g the collection, strge, prcss'g, & prsntn of data for rprtg & anlys. across mltple entrprse dtbse pltfrms, including our Netezza Enterprise Data Warehouse (EDW) & Hadoop. Mail resumes: Abercrombie & Fitch attn. Michelle Bafford, 6301 Fitch Path New Albany, OH 43054. Ref job #AS524956",No experience
29,Senior Data Scientist,"Elevate Credit Service, LLC seeks Senior Data Scientist. Position requires related degree, experience, and skills. Work location:  Solana Beach, CA.  Please mail resumes to Elevate Credit Service, LLC, Attn: Elizabeth Wilson, 4150 International Plaza, Suite 300, Fort Worth, TX 76109.",No experience
30,"Software Engineer, Data Scientist","<p>Lyft, Inc. has the following openings in Seattle, WA. Software Engineer (#SWE) (multiple positions); Data Scientist (DS). Resumes can be sent to Attn: Marika (Job #), Lyft, Inc., 185 Berry Street, Suite 5000, San Francisco, CA 94107.</p>",No experience
31,Clinical Data Science Researchers,"<p>The Lister Hill National Center for Biomedical Communications (LHC), a research and development component of the National Library of Medicine (NLM), is inviting applications for Clinical Data Science researchers with experience in the development and use of statistical and computer science techniques for extracting answers to important clinical questions from large clinical/administrative/research databases. Our interdisciplinary program is designed to develop advanced health information resources and software tools that are widely used in biomedical research and by health IT professionals, health care providers, and consumers.</p>",No experience
32,Sr. Data Engineer,"<p>ENGINEERING SolarCity Corporation. has a Sr. Data Engineer opening in Fremont, CA. Analyzing large datasets to determine optimal specifications, features &amp; economic models. Researching &amp; developing algorithms for energy systems, including solar forecasting, battery dispatch, smart inverter control, &amp; load management.. Mail resume to SolarCity, Attn: People Empowerment/CR, 3055 Clearview Way, San Mateo, CA 94402. Must reference Ref. #DE-RC</p>",No experience
33,Data Science Product Manager,"<p>Data Science Product Manager position avail. at REI&#39;s, Bellevue, WA office. FT. Responsible for perf topical analyses on broad range of strategic &amp; tactical capacities ranging from customer relationship management to web analytics and supply chain optimization. See www.rei.com for complete duties &amp; reqmts. Apply to: REI, Attn: Recruiting, 6750 South 228th Street Kent, WA 98032 &amp; ref. Job# REI12052016.</p>",No experience
34,Data Scientist,"Data Scientist (Strategic Bus. Analyst II)  Columbus, OH. Evaluate op environ to identify oppties to leverage analytics. Perform advanced quantitative/stat analysis of lrg datasets from different dbases to identify interesting trends, patterns, or correlations that can be used to improve bus performance. Master's or equiv in Stats, or rel field. Demonstrated knowl of Stat Concepts. Exp w/Stat Modeling & Data Analytics. Prog'g exp in Base SAS, SAS/STAT, SAS/ETS, SAS/SQL, & SAS/Macros, SQL & R. Stat's modeling knowl w/Gen'l Linear Regression, Logistic Regression, Arima, Decision Tree, MC Simulation & Data Mining. Quantitative Analytics exp w/lrg datasets. Demonstrated knowl of dbase & Unix sys. Exp w/MS Ofc: Excel / Word / PP / Visio. Cert in SAS Base / Advanced Prog'g Using SAS 9. Stat consulting knowl using process map. Any amount of exp w/req'd skills is acceptable. Employer will accept exp & skills gained thru academic coursework, research, or prof'l work exp. To apply, visit http://careers.jpmorganchase.com & apply to job # 170004200. JPMorgan Chase is an EOE/AAE, M/F/D/V. J.P. Morgan Chase is a marketing name of JPMorgan Chase & Co. The Chase Manhattan Bank is a subsidiary of J.P. Morgan Chase & Co. © 2003 J.P. Morgan Chase & Co. All rights reserved. www.jpmorganchase.com",No experience
35,Data Scientist,"<p>At TrueMotion we're motivated by three things: working with great people who make it fun to be at work every day, solving hard problems, and making driving safer and more affordable. If you're a positive, organized, self starter, then TrueMotion might be a great fit.  Our patented technology precisely determines driver risk via data from a driver's smartphone. Insurance companies draw insights from this data, which is then used to help people become safer drivers and save money on car insurance. TrueMotion is backed by General Catalyst, Bain Capital Ventures and Lakestar.</p> <p><span>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</span></p> <p><strong>About the role:</strong></p> <p><span>The Data Scientist will develop models to represent physical phenomena, associated with car movements and human movements, that are measured with the sensors and radios in a smart phone. We are seeking a candidate who is accustomed to solving challenging problems in a fast-paced environment. The ideal candidate has done a good bit of data visualization and  built highly-scalable production data processing systems.  The successful candidate will take a pragmatic, applied, scientific approach. This candidate will have broad and deep experience in statistics and machine learning.</span></p> <p><strong>Responsibilities:</strong></p> <ul> <li><span>Modeling driving behaviors and vehicle kinematics to find useful patterns in the data collected using sensors in smartphones</span></li> <li><span>Apply digital signal processing</span></li> <li><span>Use supervised learning, unsupervised learning and active and deep learning techniques.</span></li> <li><span>Think critically and creatively about problems.</span></li> <li><span>Keep up to date with relevant research and implement ideas found in research</span></li> <li><span>Collaborate to develop scalable production implementations of algorithms</span></li> <li><span>Take a principled and scientific approach to R&D</span></li> </ul> <p><strong>Desired skills:</strong></p> <ul> <li><span>Deep understanding of Machine learning algorithms</span></li> <li><span>Experience with Python machine learning infrastructure (e.g Pandas, NumPy, scikit-learn)</span></li> <li><span>Understanding of Digital Signal Processing (DSP)</span></li> <li><span>Experience solving real world problems</span></li> <li><span>Minimum of 3 years professional experience developing classification algorithms</span></li> <li><span>Bachelor's degree in electrical engineering, physics, computer science, or a related field required</span></li> <li><span>Master's degree or Ph.D. preferred</span></li> </ul> <p><strong>Plus:</strong></p> <ul> <li><span>Spark, Hadoop or similar Big Data infrastructure</span></li> <li><span>Deep understanding of statistics and probability</span></li> </ul> <p><strong>Benefits:</strong></p> <ul> <li><span>Competitive salary</span></li> <li><span>Stock options</span></li> <li><span>Health/Dental Care</span></li> <li><span>401k</span></li> <li><span>FSA, Commuter Savivings Account</span></li> <li><span>STD, LTD and Life employee plans </span></li> </ul>",No experience
36,sr data scientist,"IT 
	AliveCor seeks Sr. Data Scientist in Mountain View, CA to resrch, dsgn, & devlp algorithms for interpt of ECGs & apps. Ref Job ID: SDS17 & mail res. to HR, 444 Castro St, Ste 600, Mountain View, CA 94041.",No experience
37,Data Scientist,"<p>Washington State University seeks a skilled, dynamic, and methodical <strong>Data Scientist</strong> to join our <strong>Institutional Research team in Pullman, WA.</strong></p>

<p>As a Data Scientist, you will conduct high-level research activities and projects involving the compilation of complex data, mathematical/statistical and policy analysis, including the reporting of results and recommendations. More than half of the major projects include working directly on research and evaluation of university efforts surrounding student success initiatives at Washington State University.</p>

<p>For more information and to apply, visit: <a href=""http://WSUjobs.com""><strong>WSUjobs.com</strong></a> (Position #<strong>124427</strong>) by 03/05/2017.</p>

<p>WSU is an EEO/AA Educator and Employer</p>",No experience
38,Data Scientist:,"Req: PhD in mathematics or other STEM degree. Job site: Carlsbad, CA. Travel: 10% to NYC. Send resume: BlueFlame Attn: HR 6814 Embarcadero Ln., Carlsbad, CA 92011.",No experience
39,data engineer,"ENGINEERING- MapR Technologies, Inc. in San Jose, CA seeks Data Engineer: Utilize technical expertise to architect, design, develop, test and deploy Big Data solutions to complex business problems. Travel required. Telecom-muting allowed. Mail resume to MapR, Attn: HR Job Code #37009, 350 Holger Way, San Jose, CA 95134.",No experience
40,senior data scientist,"SR DATA SCIENTIST 
	Utilize statistical techniques to design & implement algorithms related to retail & supply chain data. Use/ design stat. modeling, data mining, machine learning. Apply to: T3C, Inc. DBA Retail Solutions, Inc., Attn: HR (Job#SDSMV), 201 Ravendale Drive, Mountain View, CA 94043",No experience
