,jobtitle,jobdescription,experience
10,Software Engineers,"SOFTWARE 
	ENGINEERS  
	Utilize graduate-level knowl. to develop systems. Mail to: #SWE03-M, attn S. Do, Quora, Inc., 650 Castro St, Ste 450, Mountain View, CA 94041.",No experience
11,Software Engineers,ENGINEERING - text CAREERS to 424242 for full listings,No experience
12,Software Engineers,"ENGINEERS: 
	Please see ad under Engineering",No experience
13,Sr Software Engineer,"<p>SR SOFTWARE ENGINEER, </p> <p>Research, evaluate, develop, document & maintain complex architectures, designs & provide solutions using Java, Spring, Yantra, Restful. Travel if any, will be req'd only w/in the MSP metro. Resumes to Mallika Viswanathan, Titan Data Group Inc, 6043 Hudson Rd, #399 E, Woodbury, MN 55125.</p>",No experience
14,Software Developers,"<p align=""center"">Software Developers<br/>Mt Laurel, NJ<br/></p><b>Vertical Screen, Inc.,</b> a family of leading applicant screening companies, is searching for a Software Developer with exp. in C&#35;, ASP.Net, SQL, CSS, Jquery, and Stored procedures. Also searching for a Software Support Developer with exp. in configuring websites in IIS 6.0, purchasing, installing and configuring SSL certificates, knowledge of relational databases, T-SQL and PowerShell scripting. Exp. with TeamCity, and Octupus Deploy a plus. All candidates are subject to a drug test, a background screen, and must meet FBI requirements. We offer a comp. salary & benefits pkg including paid time off & a 401k plan. Please apply via&#58; <p align=""center""><b>www.verticalscreen.com&#47;<br/>careers&#47;our-opportunities</b> EOE</p><br>Source: Philadelphia Inquirer and Daily News",No experience
15,Software Engineers,"FORWARD DEPLOYED SOFTWARE  ENGINEERS &#8211; W/ mentor &/or lead guidance: gather client feedback to direct s/w implement&#8217;n & server integration. Master&#8217;s req&#8217;d. Travel up to 75% (domestic & int&#8217;l). Location: Seattle, WA. Mail: #FDSE2-SEA1, attn Y. Montalvo, Palantir Technologies Inc., 100 Hamilton Ave, Ste 300, Palo Alto, CA 94301",No experience
16,Software Engineer,"Software Engineer - Participate in entire dvlpmt life-cycle of S/W applications for clients, focusing on S/W testing. Use QC, QTP/UFT, N-Unit, VBScript, C#, Hipaa, Blu E, One View, PowerMHS tools, i-Series, Selenium, Agile, Selenium Web Driver, Sauce Labs, Eclipse, Jenkins, ANT & BPT Framework. Edu/Exp req'd. Job loc: Waukesh, WI & various client sites in US; thus, travel/relocation is reqd. Resume w/ Ref#2015-86 to: HR, Wissen Infotech, Inc., 2325 Parklawn Dr, #G, Waukesh, WI 53186",No experience
17,Senior Software Developer,"Senior CRM Analyst (Columbus, OH) Responsible for the forecasting, tracking, and analysis for the Customer Relationship Management (CRM) function of Express's marketing department. This includes conducting statistically based response and financial analysis of direct mail, e-mail, and credit programs. Edu & Exp req'd. Send res & refs to D. Marrah at Express (Code: AM-SCRMA) One Express Dr., Columbus, OH 43230.",No experience
18,Software Engineer,"TECHNOLOGY 
	Hewlett Packard Enterprise Company is accepting resumes for the position of Systems/ Software Engineer in Colorado Springs, CO (Ref. # HPECOLFEDH1). Conduct or participate in multi-disciplinary research and collaborate with equipment designers and/or hardware engineers in the design, development, and utilization of electronic data processing systems software. Mail resume to Hewlett Packard Enterprise Company, 5400 Legacy Drive, MS H1-2F-25, Plano, TX 75024. Resume must include Ref. #, full name, email address & mailing address. No phone calls. Must be legally authorized to work in U.S. without sponsorship. EOE.",No experience
19,Software Engineer,"TECHNICAL 
	Cisco Systems, Inc. is accepting resumes for the following position in Denver, CO: Software Engineer (Ref.# DEN5): Responsible for the definition, design, development, test, debugging, release, enhancement or maintenance of networking software. Telecommuting permitted. Please mail resumes with reference number to Cisco Systems, Inc., Attn: M51H, 170 W. Tasman Drive, Mail Stop: SJC 5/1/4, San Jose, CA 95134. No phone calls please. Must be legally authorized to work in the U.S. without sponsorship. EOE. 
	 www.cisco.com",No experience
20,Software Engineer Staff,"ENGINEERING-Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer Staff: Design, develop, troubleshoot and debug functional specifications and design documents for product software features. Mail single-sided resume w/ job code #27267: to Juniper Networks, Attn.: MS A.8.429A, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
21,Software Engineer,"SOFTWARE 
	 Software Engineer to design and develop features of F5 Application Delivery Networking products, including architecting, designing and developing complex web-based Security solutions. See http://www.caljobs.ca.gov and CA SWA Job Number 14602081 for specific details. FT, San Jose, CA. Apply to: F5 Networks, Inc., Attn Y. Malina, ZZ19839, 401 Elliott Avenue W, Seattle, WA 98119.",No experience
22,Software Engineer,"ENGINEERING: 
	SOFTWARE ENGINEER  Design & implement data structures, APIs, messaging protocols & business logic for video collab. product. MS+5 or BS+7. Mail: #SWE1, attn L. Laber, Blue Jeans Network, Inc., 516 Clyde Ave., Mountain View, CA 94043.",No experience
23,Staff Software Engineer And Senior Algorithm Asr Development Engineer,"ENGINEERING: 
	Audience, Inc. has the following positions available in Mountain View, CA: Staff Software Engineer (PG-0878); Senior Algorithm ASR Development Engineer (SS-1021). Mail resume with applicable Job# to Audience, Inc., Attn: D. Phan, HR Dept, 331 Fairchild Dr., Mountain View, CA 94043.",No experience
24,Software Engineers,"SOFTWARE 
	Software Engineers to design and develop features of F5 Application Delivery Networking products. See http://www.caljobs.ca.gov and CA SWA Job Number 14604039 for specific details. FT, San Jose, CA. Apply to: F5 Networks, Inc., Attn Y. Malina, ZZ19834, 401 Elliott Avenue W, Seattle, WA 98119.",No experience
25,Software Engineer,ENGINEERING - text CAREERS to 424242 for full listings,No experience
26,Software Engineer,"SOFTWARE ENGINEER (Mooresville, NC) Translate business reqs & functional specs into logical program designs, code modules, stable application systems & software solutions. Job requires Bachelor's* degree in Comp Sci, Engg or rltd & 5 yrs exp in softw dvlpmnt or rltd (*Employer will accept combination of degrees, diplomas or exp equivalent to a Bachelor's). Must have 4+ yrs exp in database technologies; 2+ yrs exp workg on project(s) involvg the implementation of SDLC. Must have prior exp with: COBOL, JCL, SQR, File-aid, DB2 database, Peoplesoft, Eztrieve, Remedy. Qualified applicants should mail cvr ltd & resume to: Andrew Mackay, HR Director - IT, Lowe's Companies, Inc., 1000 Lowe's Boulevard, Mooresville, NC 28117. Ref# HCK",No experience
27,Sr Software Engineer,"SR. SOFTWARE ENGINEER (Mooresville, NC) Leading design, architecture, dvlpmnt & maintenance of an assigned portfolio of applications, incl requirements analysis, customizations, database changes, security definition & workflow. Job requires Bachelor's in Comp Sci, CIS or rltd fld & 8+ yrs exp in softw dvlpmnt or rltd. Candidate must have: 5+ yrs exp working on project(s) involving the implementation of IBM Websphere Commerce Package; 5+ yrs exp in database languages incl PL/SQL; 5+ yrs exp w/ IBM Websphere Commerce Web Services. Must have prior exp w/: Performance tuning of Websphere Commerce server; Compuware Dynatrace; developing in JAVA & J2EE; retail systems knowledge; Splunk; Soasta. Qualified applicants should mail cvr ltr & resume to: Andrew Mackay, HR Director - IT, Lowe's Companies, Inc., 1000 Lowe's Blvd, Mooresville, NC 28117. Reference # DU",No experience
28,Software Engineering Manager,"ENGINEER 
	Software Engineering Manager needed by Verizon in San Jose, CA. Lead and build an engineering team to develop and launch a successful mobile or web applications. To apply, mail resume to Gaurav Gupta, Associate Director Verizon, 375 West Trimble Road, San Jose, CA 95131. Refer to Job #SK1-N",No experience
29,Software Engineer,"SOFTWARE  
	Engineer to design and develop features of F5 Application Delivery Networking products, including design and implementation of current source code. See http://www.caljobs.ca.gov and CA SWA Job Number 14619497 for specific details. FT, San Jose, CA. Apply to: F5 Networks, Inc., Attn Y. Malina, ZZ19831, 401 Elliott Avenue W, Seattle, WA 98119.",No experience
30,Staff Software Engineer,"ENGINEER 
	ARRIS Technology Inc. and/or its subsidiaries sks STAFF SOFTWARE ENGINEER in Santa Clara, CA - Develop and support products. Lead software architecture and design. Job IDs - MS+3 (15001493) BS+6 (15001494). Degree Computer Science or rltd. To apply go to http://www.arris.com & search for Job ID. For'gn equiv deg accptd. EOE/ Af-firm Actn Emplyr.",No experience
31,Principal Software Engineers,"COMPUTER/IT: 
	Principal Software Engineers (Santa Clara, CA openings. Travel not required, but must be willing to relocate to unanticipated locations across the country per contract demand): Architect, design and implement distributed software systems which manage full life-cycle of software components, virtual and physical networks. Email resume ref job code# 12PSE to HR Manager, Intellipro Group, Inc 
hr@intelliprogroup.com",No experience
32,Software Engineer Senior,"IT: Siemens PLM Software Inc. has an opening in Charlotte, NC for Software Engineer Senior to build platform components using Java, J2EE, Web Services and OO technologies. Email resumes to PLMCareers@ugs.com & refer to Req#150482. EOE",No experience
33,Software Engineer (Swe),"<p style=""text-align: center;""><strong>iSpot.tv, Inc. </strong></p>

<p style=""text-align: center;"">has the following opening in <strong>Bellevue, WA</strong>.</p>

<p style=""text-align: center;""><span style=""font-size:16px""><strong>Software Engineer (#SWE)</strong>.</span></p>

<p style=""text-align: center;"">Resumes can be sent to</p>

<p style=""text-align: center;"">Attn: Avienne (Job Code #SWE)</p>

<p style=""text-align: center;"">15831 NE 8th Street, Suite 100,</p>

<p style=""text-align: center;"">Bellevue, WA 98008.</p>",No experience
34,Software Developer I/Ii - Limited Term,"The Software Developer designs and builds robust, multi-tiered web applications. This position combines strong technical programming skills and experience in analyzing and integrating with third-party tools to support and extend the needs of end users. This position will be responsible for designing and implementing web-service interfaces to a wide range of existing data sources, and will assist in evaluating and optimizing data integration across these sources.",No experience
35,Software Engineer,"The Health Information Exchange (HIE) Application Developer will assist in the development of web based applications that support Seattle Childrenâ€™s Health Information Exchange. He or She will be responsible for developing and supporting portal application in the context of Continuity of Care as well developing web based services supporting IHE profiles. They will also supports customers, peers, systems and applications utilizing technical expertise.",No experience
36,"Staff, Software Engineer","ENGINEER 
	Staff, Software Engineer (Systems) (Infinera Corporation  Sunnyvale, CA) Dsgn, dvlp, trblshoot, & debug s/w programs for enhncmnts & new s/w for tim'g, synchronization, overhead bytes process'g, data-path protection, fault handl'g, & prfrmnce mgmt. F/T. Reqs MS (or f/equiv) in EE, CS, Eng & Tech Innovation Mgmt, IT, or rel fld & 5 yrs' exp in job offered or in s/w dvlpmnt. (In lieu of MS & 5 yrs' exp as stated, will accpt Bach's dgr (or f/equiv) & 8 yrs' exp as stated.) All stated exp must incl embedded systems & platfrm dvlpmnt. 5 yrs' stated or other exp must incl: C++ & objct oriented program'g; Data plane apps; & Embedded Real Time Operat'g System such as Linux, Multiprocessor architctures, data/tim'g/ cntrl plane bring-up, & device driver. Exp must also incl Cntrl Plane, FPGA/I2C/UART, & exp in at least 2 of follw'g: Embedded System S/w; L2/L3 process'g; Broadcom devices; GMPLS; & DWDM (Dense Wavelgth Dvsion Multiplx'g). Apply w/ resume to scoordinator@infinera.com. Ref JobID INF-290.",No experience
37,Software Engineer,"ENGINEERING-Leeyo Software, Inc. is recruiting for our San Jose, CA office: Software Engineer: Analyze, design, program, build, debug & modify accounting & revenue SW application enhancements & new products in complex ERP environments. Using current programming language & technology, write code & complete programming to translate functional specifications to technical specifications for dvlpmnt of applications. Mail resume to: Attn.: HR, Leeyo Software, 2841 Junction Ave., Ste. 201, San Jose, CA 95134.",No experience
38,Software Engineer,"ENGINEERING-Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Design, develop, troubleshoot and debug kernel features and enhancements for JUNOS. Develop software and tools in support of design, infrastructure and technology of high availability features. Mail single-sided resume w/ job code #12236 to Attn: MS A.8.429A, Juniper Networks, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
39,Member Technical Staff/Principal Software Engineer,"TECHNOLOGY 
	TIBCO Software Inc. has the following jobs in Palo Alto, CA: Sr. Member Technical Staff [Ref PCA136] Design & develop test plans and test specifications; Principal Software Engineer [Ref PCA137] Developing of Mobile Platform & enterprise mobile apps. Mail resume to TIBCO Software Inc., C. Ramirez, 3307 Hillview Ave., Palo Alto, CA 94304. Must include Ref# to be considered and have unrestricted U.S. work authorization. No phone calls, pls",No experience
40,Software Engineer,"ENGINEERING 
	Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Design, develop, troubleshoot and debug new tools for mobility services, and software to test company routers. Mail single-sided resume with job code #30892 to: Juniper Networks, Attn: MS A.8.429A, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
